Date,Close,High,Low,Open,Volume,MA5,MA20,Daily_Return,Volatility,RSI14,Target
2015-06-24,8360.849609375,8421.349609375,8338.900390625,8399.400390625,130100,8299.00986328125,8179.5,-0.002469733616678238,0.009249790148166102,64.27506036142367,1
2015-06-25,8398.0,8423.150390625,8329.5,8336.25,201200,8343.68984375,8183.45,0.00444337505883885,0.004815191482992359,67.11779277073171,0
2015-06-26,8381.099609375,8408.5498046875,8339.7001953125,8393.9501953125,110600,8374.9197265625,8180.8224609375,-0.0020124304149797823,0.0052798809478962995,71.77096590396422,0
2015-06-29,8318.400390625,8329.4501953125,8195.650390625,8247.0498046875,132000,8367.9798828125,8175.0724609375,-0.00748102536329065,0.0065832726993813,68.16399004980491,1
2015-06-30,8368.5,8378.0,8298.9501953125,8316.349609375,158500,8365.369921875,8181.674951171875,0.006022745602803914,0.006622194728176265,65.99593168091474,1
2015-07-01,8453.0498046875,8481.599609375,8370.150390625,8376.25,131800,8383.8099609375,8197.572436523438,0.01010334046573469,0.006896920231943711,85.42787965979895,0
2015-07-02,8444.900390625,8479.25,8433.2001953125,8471.9501953125,112000,8393.1900390625,8213.2849609375,-0.0009640797405430224,0.006748873565821968,84.02571949496003,1
2015-07-03,8484.900390625,8497.75,8424.150390625,8440.099609375,88400,8413.9501953125,8231.794970703126,0.004736586359787687,0.006696192130239324,84.23471607738975,1
2015-07-06,8522.150390625,8533.150390625,8386.150390625,8386.150390625,101500,8454.7001953125,8255.694995117188,0.004390151714822377,0.005139668927391583,84.32246160448705,0
2015-07-07,8510.7998046875,8561.349609375,8483.849609375,8525.5,122200,8483.16015625,8280.114990234375,-0.0013318922357890006,0.00521527235118103,81.81682086733801,0
2015-07-08,8363.0498046875,8457.5,8341.400390625,8439.2001953125,188100,8465.16015625,8292.044970703126,-0.01736029555278973,0.007915331248238937,63.02258897619092,0
2015-07-09,8328.5498046875,8400.2998046875,8323.0,8364.849609375,131300,8441.8900390625,8310.204956054688,-0.004125289314989233,0.007850979852036071,57.31946613972435,1
2015-07-10,8360.5498046875,8377.099609375,8315.400390625,8365.7001953125,154100,8417.019921875,8329.087451171876,0.0038422055160178825,0.007968126443528805,50.609124167434494,1
2015-07-13,8459.650390625,8471.650390625,8355.400390625,8397.25,117800,8404.519921875,8351.374975585937,0.011853357524637564,0.008346359933894045,55.7241691276359,0
